y,x,value
France,2002,1
France,2003,1
France,2004,1
France,2005,1
France,2005,1
France,2006,0.09
France,2007,0.21
France,2008,1
France,2009,0.23
France,2010,0.28
France,2011,1
France,2012,0.33
France,2013,1
France,2014,0.39
Netherlands,2002,0.10
Netherlands,2003,0.16
Netherlands,2004,0.15
Netherlands,2005,0.37
Netherlands,2006,0.42
Netherlands,2007,0.45
Netherlands,2008,1
Netherlands,2009,0.49
Netherlands,2010,0.51
Netherlands,2011,1
Netherlands,2012,0.55
Netherlands,2013,1
Netherlands,2014,0.61
Belgium,2002,1
Belgium,2003,1
Belgium,2004,1
Belgium,2005,0.17
Belgium,2006,0.2
Belgium,2007,0.23
Belgium,2008,1
Belgium,2009,0.33
Belgium,2010,1
Belgium,2011,1
Belgium,2012,0.51
Belgium,2013,1
Belgium,2014,0.55
Italy,2002,1
Italy,2003,1
Italy,2004,1
Italy,2005,0.1
Italy,2006,0.11
Italy,2007,0.14
Italy,2008,1
Italy,2009,0.17
Italy,2010,0.19
Italy,2011,1
Italy,2012,0.22
Italy,2013,1
Italy,2014,0.32
Spain,2002,0.10
Spain,2003,0.18
Spain,2004,0.19
Spain,2005,0.2
Spain,2006,0.23
Spain,2007,0.25
Spain,2008,1
Spain,2009,0.29
Spain,2010,0.28
Spain,2011,1
Spain,2012,0.34
Spain,2013,1
Spain,2014,0.40
Bulgaria,2002,1
Bulgaria,2003,1
Bulgaria,2004,0.08
Bulgaria,2005,1
Bulgaria,2006,0.12
Bulgaria,2007,0.16
Bulgaria,2008,1
Bulgaria,2009,0.24
Bulgaria,2010,0.22
Bulgaria,2011,1
Bulgaria,2012,0.3
Bulgaria,2013,1
Bulgaria,2014,0.32
Czech Republic,2002,1
Czech Republic,2003,.09
Czech Republic,2004,.09
Czech Republic,2005,.09
Czech Republic,2006,.12
Czech Republic,2007,.20
Czech Republic,2008,1
Czech Republic,2009,.23
Czech Republic,2010,.29
Czech Republic,2011,1
Czech Republic,2012,.25
Czech Republic,2013,1
Czech Republic,2014,.45
Denmark,2002,.12
Denmark,2003,.17
Denmark,2004,.19
Denmark,2005,.21
Denmark,2006,.26
Denmark,2007,.33
Denmark,2008,1
Denmark,2009,.34
Denmark,2010,.36
Denmark,2011,1
Denmark,2012,.53
Denmark,2013,1
Denmark,2014,.55
Germany,2002,.1
Germany,2003,.12
Germany,2004,.15
Germany,2005,1
Germany,2006,.18
Germany,2007,.21
Germany,2008,1
Germany,2009,1
Germany,2010,.29
Germany,2011,1
Germany,2012,.40
Germany,2013,1
Germany,2014,.45
Estonia,2002,1
Estonia,2003,1
Estonia,2004,.2
Estonia,2005,.24
Estonia,2006,.28
Estonia,2007,.29
Estonia,2008,1
Estonia,2009,.35
Estonia,2010,.38
Estonia,2011,1
Estonia,2012,.43
Estonia,2013,1
Estonia,2014,.41
Ireland,2002,1
Ireland,2003,.04
Ireland,2004,.05
Ireland,2005,.06
Ireland,2006,.11
Ireland,2007,.13
Ireland,2008,1
Ireland,2009,.19
Ireland,2010,.2
Ireland,2011,1
Ireland,2012,.17
Ireland,2013,1
Ireland,2014,.34
Greece,2002,.04
Greece,2003,.07
Greece,2004,.11
Greece,2005,.08
Greece,2006,.11
Greece,2007,.15
Greece,2008,1
Greece,2009,.19
Greece,2010,.18
Greece,2011,1
Greece,2012,.28
